enable_astar_fallback,enable_confidence_fallback,fallback_confidence_threshold,fallback_min_step,fallback_no_progress_patience,fallback_max_calls,model_type,samples,path_validity,exact_match,step_accuracy,optimality_gap_mean,optimality_gap_p95,success_under_1_5x,path_length_ratio_mean,astar_ms_per_query,policy_ms_per_query,speedup_astar_over_policy,speedup_policy_over_astar,stage,score
False,False,0.36,4,1,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.16621916632478434,38.57473250027397,0.004309016694376398,232.07150747526177,coarse,-999999041.6666666
True,False,0.36,4,1,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16746500162601782,37.7985358327957,0.004430462660427119,225.71006159966032,coarse,1112.767398750269
False,False,0.36,4,3,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.1676499996392522,38.79166750023918,0.004321804409109727,231.38483497590664,coarse,-999999041.6666666
True,False,0.36,4,3,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17457416882583252,38.453757498791674,0.004539846823325864,220.27174900747116,coarse,1112.439787917271
False,False,0.36,8,1,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.16991833302502832,38.44148749970676,0.00442018100954924,226.23507902496004,coarse,-999999041.6666666
True,False,0.36,8,1,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16483416620758362,38.43286749906838,0.004288885449715123,233.16080872862253,coarse,1112.4502329171326
False,False,0.36,8,3,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.1680333329810916,39.38454166685309,0.0042664793309633,234.38529110938327,coarse,-999999041.6666666
True,False,0.36,8,3,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16963833210562976,39.54648333407628,0.0042895933545488325,233.1223305676669,coarse,1111.8934249996287
True,False,0.33999999999999997,3,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17273499979637563,38.66971666842194,0.004466932128764023,223.86729217591557,refine,1112.3318083324557
True,False,0.33999999999999997,3,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16522750083822757,40.65979499816118,0.004063657990545695,246.0837015138947,refine,1111.3367691675862
True,False,0.33999999999999997,5,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17426166693136716,39.64377750065372,0.004395687745157323,227.49568622149928,refine,1111.8447779163398
True,False,0.33999999999999997,5,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.1676158341676152,38.022633332972575,0.004408317348768729,226.84392272242064,refine,1112.6553500001805
True,False,0.36,3,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16245083485652384,38.826252500924355,0.004184046215963189,239.00309613807525,refine,1112.2535404162045
True,False,0.36,3,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16435499928775243,38.23125083411772,0.004298969970950607,232.6138602403114,refine,1112.5510412496078
True,False,0.36,5,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16793083438339332,37.822847498561416,0.004439931033478654,225.22872370305876,refine,1112.755242917386
True,False,0.36,5,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.1736633321949436,39.34203166669856,0.004414193289919559,226.54196006406036,refine,1111.9956508333175
True,False,0.38,3,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17495833526481874,39.32171333241664,0.0044494077301709,224.74901394608546,refine,1112.0058100004585
True,False,0.38,3,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16957833189129207,38.95881750067929,0.0043527587018865575,229.73936036623937,refine,1112.187257916327
True,False,0.38,5,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16545500063026944,38.99754999899111,0.004242702442449586,235.69882959377077,refine,1112.1678916671713
True,False,0.38,5,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16649249979915717,38.73794749888475,0.004297917431065505,232.6708262871602,refine,1112.2976929172244
True,False,0.26,7,0,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17074916565131085,38.6683991678486,0.004415728846444792,226.46318077368443,refine,1112.3324670827424
True,False,0.26,7,2,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.16678499935854535,37.917425833438756,0.004398637188378447,227.34314224462074,refine,1112.7079537499474
